plec;stan_cyw;samozatr;dochod;suma_poz;historia;miejsce_zam;pozyczka
0;1;0;4583;128;1;2;0
0;1;1;3000;66;1;0;1
0;1;0;2583;120;1;0;1
0;0;0;6000;141;1;0;1
0;1;1;5417;267;1;0;1
0;1;0;2333;95;1;0;1
0;1;0;3036;158;0;1;0
0;1;0;4006;168;1;0;1
0;1;0;12841;349;1;1;0
0;1;0;3200;70;1;0;1
0;1;0;3073;200;1;0;1
0;0;0;1853;114;1;2;0
0;1;0;1299;17;1;0;1
0;0;0;4950;125;1;0;1
1;0;0;3510;76;0;0;0
0;1;0;4887;133;1;2;0
0;1;0;7660;104;0;0;0
0;1;0;5955;315;1;0;1
0;1;0;2600;116;0;1;0
0;1;1;9560;191;1;1;1
0;1;0;2799;122;1;1;1
0;1;0;4226;110;1;0;1
0;0;0;1442;35;1;0;0
0;0;0;3167;74;1;0;0
0;0;1;4692;106;1;2;0
0;1;0;3500;114;1;1;1
0;0;0;12500;320;1;2;0
1;1;0;3667;144;1;1;1
0;0;0;4166;184;1;0;1
0;0;0;3748;110;1;1;1
0;0;0;3600;80;1;0;0
0;0;0;1800;47;1;0;1
0;1;0;3941;134;1;1;1
0;1;0;5649;44;1;0;1
0;1;0;5821;144;1;0;1
1;1;0;2645;120;0;0;0
1;0;0;4000;144;1;1;1
1;1;0;1928;100;1;1;1
1;0;0;3086;120;1;1;1
1;0;0;4230;112;1;1;0
0;1;0;4616;134;1;0;0
1;1;1;11500;286;0;0;0
0;1;0;2708;97;1;1;1
0;1;0;2132;96;1;1;1
0;1;0;3366;135;1;2;0
0;1;0;8080;180;1;0;1
0;1;0;3357;144;1;0;1
0;1;0;2500;120;1;0;1
0;1;0;3029;99;1;0;1
0;1;1;2609;165;0;2;0
1;0;0;4166;116;0;1;0
0;1;0;5726;258;1;1;0
0;0;0;3200;126;0;0;0
0;1;0;10750;312;1;0;1
0;1;1;7100;125;1;0;1
1;0;0;4300;136;0;1;0
0;1;0;3208;172;1;0;1
0;1;1;1875;97;1;1;1
0;0;0;3500;81;1;1;1
0;1;1;5266;187;1;1;1
0;0;0;3750;113;1;0;0
0;0;0;3750;176;1;0;0
0;1;1;1000;110;1;0;0
0;1;0;3167;180;0;1;0
1;0;0;3846;111;1;1;1
1;1;0;1378;167;1;0;0
0;1;0;3988;50;1;0;1
0;0;0;2366;136;1;1;1
0;1;0;2500;104;1;1;1
0;0;0;8566;210;1;0;1
0;1;0;5695;175;1;1;1
0;1;0;2958;131;1;1;1
0;1;0;6250;188;1;1;1
0;1;0;3273;81;1;0;1
0;0;0;4133;122;1;1;1
0;0;0;3620;25;1;1;1
1;1;0;2484;137;1;1;1
0;1;0;1977;50;1;1;1
0;1;0;4188;115;1;1;1
0;1;0;1759;131;1;1;1
0;1;0;4288;133;1;0;1
0;0;0;4843;151;1;1;1
0;1;0;3052;100;1;0;1
0;1;0;11417;225;1;0;1
0;1;0;3800;216;0;0;0
0;1;0;2071;94;1;1;1
0;0;0;5316;136;1;0;1
0;1;0;14583;185;1;2;1
1;1;0;3167;154;1;1;1
0;1;0;5568;175;1;2;0
1;0;0;10408;259;1;0;1
1;0;0;4166;44;1;1;1
1;0;0;2137;137;0;1;1
0;1;0;2957;81;1;1;1
0;1;0;4300;194;1;2;1
0;1;1;10513;160;0;0;0
0;0;0;2014;74;1;0;1
0;0;0;2718;70;1;1;1
0;1;1;3459;25;1;1;1
0;0;0;4895;102;1;1;1
0;1;0;4000;290;1;1;0
1;1;0;4583;84;1;2;0
0;1;1;3316;88;1;0;1
0;0;0;14999;242;0;1;0
0;1;0;4200;129;1;2;0
0;1;0;5042;185;1;2;0
0;0;0;5417;168;1;0;1
0;0;1;6950;175;1;1;1
0;1;0;2698;122;1;1;1
0;1;0;11757;187;1;0;1
1;1;0;2330;100;1;1;1
1;1;0;14866;70;1;0;1
0;1;0;1538;30;1;0;1
1;0;0;10000;225;1;2;0
0;1;0;4860;125;1;1;1
0;0;0;6277;118;0;2;0
0;1;1;2577;152;1;2;1
0;0;0;9166;244;1;0;0
0;1;0;2281;113;1;2;0
0;0;0;3254;50;1;0;1
0;1;0;39999;600;0;1;1
0;1;0;9538;187;1;0;1
0;1;0;4583;255;1;1;1
0;1;0;1863;98;1;1;1
0;1;0;7933;275;1;0;0
0;1;0;3089;121;0;1;0
0;1;0;4167;158;1;2;1
0;1;0;9323;75;1;0;1
1;1;0;4583;112;1;2;0
0;1;0;2439;129;1;2;1
0;0;0;2237;63;0;1;0
0;1;0;8000;200;1;1;1
0;1;0;3522;81;1;2;0
0;1;0;5708;187;1;1;1
0;1;1;4344;87;1;1;0
0;1;0;3497;116;1;2;1
0;1;0;2045;101;1;2;1
0;1;0;5516;495;0;1;0
0;1;0;3750;116;1;1;1
0;0;0;2333;102;0;0;0
0;1;0;6400;180;0;0;0
0;1;0;4600;73;1;1;1
0;1;0;33846;260;1;1;0
1;1;0;3625;108;1;1;1
0;1;1;39147;120;1;1;1
0;1;1;2178;66;0;2;0
0;1;0;9328;188;1;2;1
0;0;0;4885;48;1;2;1
0;0;0;12000;164;1;1;0
0;1;0;6033;160;1;0;0
0;0;0;3858;76;1;1;1
0;0;0;4191;120;1;2;1
0;1;0;3125;170;1;1;0
0;0;0;8333;187;1;2;1
0;0;1;11000;83;1;0;0
0;1;0;2600;90;1;1;1
0;0;0;4923;166;0;1;1
0;1;0;3500;135;1;0;1
0;1;0;3917;124;1;1;1
1;0;0;4408;120;1;1;1
1;0;0;3244;80;1;0;1
0;0;0;3975;55;1;2;1
0;0;0;2479;59;1;0;1
0;0;0;3418;127;1;1;0
1;0;0;10000;214;1;1;0
0;1;0;3430;128;0;1;0
0;1;1;7787;240;1;0;1
0;1;1;5703;130;1;2;1
0;1;0;3173;137;1;0;1
0;1;0;3850;100;1;1;1
0;1;0;150;135;1;2;0
0;1;0;3727;131;1;1;1
0;1;0;2221;60;0;0;0
0;1;0;4009;116;1;1;1
0;0;0;2971;144;1;1;1
0;1;0;6250;128;1;1;1
0;1;0;3250;170;1;2;0
0;1;0;6250;210;1;1;1
0;0;1;6400;200;1;2;1
0;1;0;2491;104;1;1;1
1;0;0;8333;280;1;1;1
0;1;0;3155;140;1;1;1
0;1;0;5500;170;1;2;1
1;0;0;3812;112;1;2;1
0;1;0;3315;96;1;1;1
0;1;0;5819;120;1;2;1
0;1;0;2510;140;1;0;0
0;0;0;2965;155;1;0;1
0;1;1;6250;108;1;2;1
0;1;0;3406;123;1;1;1
0;0;1;6050;120;1;0;0
0;1;0;9703;112;1;0;1
0;1;0;6608;137;1;0;1
0;1;0;2882;123;1;1;1
0;1;0;1809;90;1;0;1
0;1;0;1668;201;0;1;0
1;0;0;3427;138;1;0;0
0;0;1;2583;104;1;2;1
0;1;0;2661;279;1;1;1
0;0;1;16250;192;0;0;0
1;0;0;3083;255;1;2;1
0;0;0;6045;115;0;2;0
0;1;0;5250;94;1;0;0
0;1;0;14683;304;1;2;0
0;0;0;2060;134;1;1;1
1;0;0;3481;155;1;1;0
1;0;0;7200;120;1;2;1
0;0;1;5166;128;1;1;1
0;0;0;4095;151;1;2;1
0;1;0;4708;150;1;1;1
0;1;0;4333;160;0;0;1
1;0;0;2876;90;1;0;1
1;0;0;3237;30;1;0;1
0;1;0;11146;136;1;0;1
0;0;0;2833;126;1;2;1
0;1;0;2620;150;1;1;1
0;1;0;3900;90;1;1;1
0;1;0;2750;115;1;1;1
0;1;0;3993;207;1;1;1
0;1;0;3103;80;1;0;1
0;1;0;14583;436;1;1;1
0;0;1;4053;158;0;0;0
0;1;0;3927;112;1;1;1
0;1;0;2301;78;1;0;1
1;0;0;1811;54;1;0;1
0;0;0;3158;89;1;2;1
1;0;1;2600;99;1;1;0
0;1;0;3704;120;1;2;1
1;0;0;4124;115;1;1;1
0;0;0;9508;187;1;2;1
0;1;0;3075;139;1;2;1
0;1;0;4400;127;0;1;0
0;1;0;3153;134;1;0;1
0;1;0;2383;172;1;1;1
0;1;0;6875;200;1;1;1
1;1;0;4666;135;1;0;1
1;0;0;5000;151;1;2;0
0;1;0;2014;113;1;0;0
0;1;0;1800;93;0;0;0
1;0;0;5000;132;1;2;1
0;1;0;1625;96;1;0;1
0;0;0;4000;140;1;2;1
1;0;0;3762;135;1;2;1
1;0;0;2400;104;0;0;0
0;0;0;20233;480;1;2;0
1;0;0;2917;84;1;1;1
0;0;0;2927;111;1;1;1
1;0;0;2507;56;1;2;1
0;1;0;3399;111;1;0;1
0;1;0;3717;120;1;1;1
0;1;1;10000;155;1;2;0
0;1;0;2400;115;1;1;1
0;1;0;4342;124;1;1;1
0;1;0;15000;300;1;2;1
0;1;1;8666;376;0;2;0
0;0;0;4917;130;0;2;1
0;1;1;5818;184;1;1;1
1;1;0;4333;110;1;0;0
1;0;0;2500;67;1;0;1
0;0;0;4384;117;1;0;1
0;0;0;2935;98;1;1;1
0;1;1;2500;176;1;2;1
1;0;0;4160;71;1;1;1
0;1;0;2647;173;1;2;0
1;0;0;2378;46;1;2;0
0;1;0;4554;158;1;0;1
0;1;0;3173;74;1;1;1
0;1;0;2499;160;1;1;1
0;1;0;3083;126;1;0;1
0;1;0;2625;187;1;2;1
0;1;0;9083;228;1;1;1
0;0;0;8750;308;1;2;0
0;1;0;2666;95;1;2;1
1;1;1;5500;105;0;2;0
1;1;0;2423;130;1;1;1
0;1;0;8333;165;1;2;1
0;1;0;3875;67;1;0;0
0;1;0;3000;100;0;0;0
